dataset,formato,URLdataset,URLsezione,tracciaRecordAttributi,AttoConcessionePresenzaAttributo,DatiFiscaliBeneficiarioPresenzaAttributo,ImportoBeneficioPresenzaAttributo,LinkCurriculiumSoggettoPresenzaAttributo,ModalitaSeguitaPerIndividuazioneBeneficiarioPresenzaAttributo,NomeBeneficiarioPresenzaAttributo,ProgettoFinanziatoPresenzaAttributo,LinkProgettoFinanziatoPresenzaAttributo,FunzionarioResponsabileSussidioPresenzaAttributo,UfficioResponsabileSussidioPresenzaAttributo
http://trasparenza.nexacenter.org/id/AttiConcessioneBolzano,http://trasparenza.nexacenter.org/id/Html_tabellare,http://www.comune.bolzano.it/prog/assegnazioni/assegnazioni.php?token=7a7bf2b3728c460c8170c0ee339be585&action=elenca_inc_pubblico,http://www.comune.bolzano.it/prog/assegnazioni/assegnazioni.php?token=6c699f1b44ad9b64227f6861a5562782&action=cerca_inc_pubblico,"Data , Numero , Oggetto ,	Beneficiario ,	Importo",1,0,1,0,0,1,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneBrescia,http://trasparenza.nexacenter.org/id/Html_tabellare,http://www.comune.brescia.it/trasparenza/sovvenzioni/atti/Pagine/Atti-di-concessione-di-sovvenzioni-e-contributi---anno-2014.aspx,http://www.comune.brescia.it/trasparenza/sovvenzioni/atti,Denominazione del soggetto percettore​	Codice fiscale​	Importo del vantaggio economico concesso​	norma o titolo a base dell'attribuzione​	Dirigente responsabile del procedimento​	Modalità seguita per l'individuazione del beneficiario​	link al progetto selezionato/al curriculum del sogg,1,1,1,1,0,1,0,1,1,1
http://trasparenza.nexacenter.org/id/AttiConcessioneBrindisi,http://trasparenza.nexacenter.org/id/Pdf_vettoriale,http://www.comune.brindisi.it/web/images/documenti/amministrazionetrasparente/sovvenzioni/atticoncessione/contributi_OrganiIstituzionali.pdf,http://www.comune.brindisi.it/web/sovvenzioni-contributi-sussidi-vantaggi-economici/atti-di-concessione.html,"Beneficiario , Codice Fiscale , Atto di settore , data atto liquidazione , oggetto mandato ,  Importo corrisposto",1,1,1,0,0,1,1,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneCagliari,http://trasparenza.nexacenter.org/id/Csv,http://www.comune.cagliari.it/portale/do/content/FrontEnd/Export/exportCsv.action,http://www.comune.cagliari.it/portale/it/trasparenza_sovv_atti.page,"DataPubbli, Beneficiario, CV_Incaricato, CV_Incaricato_link, CodFis_o_PIva, Importo, Norma_TitoloAttr, AnnoConcessione, Ufficio, Responsabile, Tipologia, Ind_Beneficiario, Descrizione, Progetto, Progetto_link, Contratto, Contratto_link, Capitolato, Capitolato_link, Fornitura, Fornitura_link, Allegati",0,1,1,0,1,1,1,0,1,1
http://trasparenza.nexacenter.org/id/AttiConcessioneCaltanissetta,,,http://www.comune.caltanissetta.it/_Applicazioni/AmmAperta/FrontOffice/attidiconcessione.aspx,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneCaltanissetta,,,http://www.comune.caltanissetta.it/_Applicazioni/AmmAperta/FrontOffice/attidiconcessione.aspx,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneCaltanissetta,,,http://www.comune.caltanissetta.it/_Applicazioni/AmmAperta/FrontOffice/attidiconcessione.aspx,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneCampobasso,http://trasparenza.nexacenter.org/id/Pdf_vettoriale,http://83.221.106.82/campobasso2/zf/index.php/trasparenza/index/index/categoria/63,http://www.comune.campobasso.it/sa/sa_p_testo.php?x=&idservizio=10086&idtesto=342&idfoto=&&nodo=nodo11,"Beneficiario C.F. / partita IVA, Nome e cognome del legale rappresentante, Modalità per la scelta del beneficiario, Importo - attribuzione, Descrizione, Norma o titolo a base dell’attribuzione, RP e ufficio competente, Link",1,1,1,0,1,1,1,1,1,1
http://trasparenza.nexacenter.org/id/AttiConcessioneCarbonia,http://trasparenza.nexacenter.org/id/Pdf_vettoriale,http://www.comune.carbonia.ci.it/urbiportal/protected/documents/11076,http://www.comune.carbonia.ci.it/urbiportal/content/it_IT/5698.html,"Nome Dati fiscali Beneficiario , Importo , Norma o titolo , Oggetto dell'incarico  , Ufficio Funzionario responsabile , Modalità seguita per l'individuazione del beneficiario , Link al progetto selezionato",1,0,1,0,1,1,1,0,1,1
http://trasparenza.nexacenter.org/id/AttiConcessioneCaserta,http://trasparenza.nexacenter.org/id/Csv,http://trasparenza.comune.caserta.it/export_open_data_csv.php?id_criterio=127&id_oggetto=38&id_ente=2,http://trasparenza.comune.caserta.it/pagina48_atti-di-concessione.html,"Nominativo beneficiario , Dati fiscali , Oggetto , Struttura organizzativa responsabile ,	Dirigente o funzionario responsabile , Data di riferimento , Importo ,	Note , Modalità seguita per l'individuazione , Atto di concessione , Progetto selezionato , Curriculum del soggetto beneficiario",0,1,1,0,0,1,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneCatania,http://trasparenza.nexacenter.org/id/Pdf_vettoriale,http://www.comune.catania.it/amministrazione-trasparente/sovvenzioni-contributi-sussidi-vantaggi-economici/allegati-2014/sovvenzioni-comct-20140715.pdf,http://www.comune.catania.it/amministrazione-trasparente/sovvenzioni-contributi-sussidi-vantaggi-economici/atti-di-concessione.aspx,"nome dell'impresa o dell'ente beneficiario , dati fiscali o nome di altro soggetto beneficiario, importo del vantaggio economico corrisposto, norma o titolo a base dell'attribuzion e, ufficio competente per il procedimento amministrativ o, funzionario o dirigente responsabile del relativo procedimento amministrativ o, modalità seguita per l'individuazio ne del beneficiario, link al progetto selezionato, link al curriculum del soggetto incaricato",1,1,1,1,1,1,1,1,1,1
http://trasparenza.nexacenter.org/id/AttiConcessioneCatanzaro,,,http://www.comunecatanzaro.it/index.php/amministrazione-trasparente/83-sovvenzioni-contributi-sussidi-vantaggi-economici/atti-di-concessione,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneCatanzaro,,,http://www.comunecatanzaro.it/index.php/amministrazione-trasparente/83-sovvenzioni-contributi-sussidi-vantaggi-economici/atti-di-concessione,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneCatanzaro,,,http://www.comunecatanzaro.it/index.php/amministrazione-trasparente/83-sovvenzioni-contributi-sussidi-vantaggi-economici/atti-di-concessione,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneCatanzaro,,,http://www.comunecatanzaro.it/index.php/amministrazione-trasparente/83-sovvenzioni-contributi-sussidi-vantaggi-economici/atti-di-concessione,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneCatanzaro,,,http://www.comunecatanzaro.it/index.php/amministrazione-trasparente/83-sovvenzioni-contributi-sussidi-vantaggi-economici/atti-di-concessione,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneCesena,http://trasparenza.nexacenter.org/id/Html_tabellare,https://servizi.comune.cesena.fc.it/applicazioniweb/consultazioneAtti/documenti/home.0.2,http://www.comune.cesena.fc.it/amministrazionetrasparente/sovvenzioni,"Anno e numero, Data esecutività, Dirigente, Oggetto, Documenti",1,0,0,0,0,0,1,1,1,0
http://trasparenza.nexacenter.org/id/AttiConcessioneChieti,http://trasparenza.nexacenter.org/id/Xls,http://www.comune.chieti.gov.it/images/pdf/V%20Settore.xls,http://www.comune.chieti.gov.it/index.php/trasparenza-valutazione-e-merito/amministrazione-aperta-art-18-d-l-134-2012.html,"Tipologia , Beneficiario , C.F / P.IVA beneficiario , importo , settore /Staff , Ufficio/sezione , Responsabile , tipo provvedimento , numero e data , modalità di affidamento , Rif. PEG , Note",1,1,1,0,1,1,0,0,1,0
http://trasparenza.nexacenter.org/id/AttiConcessioneComo,http://trasparenza.nexacenter.org/id/Csv,http://trasparenza.comune.como.it/index.php/lista2/generacsv/anno/2014,http://www.comune.como.it/amministrazione-trasparente/sovvenzioni-contributi-sussidi-vantaggi-economici/atti-di-concessione/,"Anno , Rif. , Beneficiario , C.F./P. IVA , Importo , Norma o titolo a base dell'attribuzione , Ufficio , Dirigente Responsabile , Modalità seguita per l'individuazione del beneficiario",1,1,1,0,1,1,1,0,1,1
http://trasparenza.nexacenter.org/id/AttiConcessioneCosenza,http://trasparenza.nexacenter.org/id/Csv,http://cosenza.etrasparenza.it/export_open_data_csv.php?id_criterio=127&id_oggetto=38&id_ente=75,http://cosenza.etrasparenza.it/pagina48_atti-di-concessione.html,"Nominativo beneficiario , Dati fiscali , Oggetto , Struttura organizzativa responsabile ,	Dirigente o funzionario responsabile , Data di riferimento , Importo , 	Note , Modalità seguita per l'individuazione , Atto di concessione , Progetto selezionato , Curriculum del soggetto beneficiario",1,1,1,1,1,1,1,1,0,1
http://trasparenza.nexacenter.org/id/AttiConcessioneCremona,http://trasparenza.nexacenter.org/id/Pdf_vettoriale,https://sportelloweb.comune.cremona.it/online/viewProcess.do?d-7014159-e=5&6578706f7274=1&processName=it.people.fsl.servizi.trasparenza.esterni.online,https://sportelloweb.comune.cremona.it/online/initProcess.do?processName=it.people.fsl.servizi.trasparenza.esterni.online,"Beneficiario , Dati fiscali , Importo , Titolo , Provvedimento , Ufficio responsabile , Dirigente , Modalita', Data",1,1,1,0,1,1,0,0,1,1
http://trasparenza.nexacenter.org/id/AttiConcessioneCrotone,,,http://www.contrasparenza.it/id16-arg31-Sovvenzioni%2C-contributi%2C-sussidi%2C-vantaggi-economici,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneCrotone,,,http://www.contrasparenza.it/id16-arg31-Sovvenzioni%2C-contributi%2C-sussidi%2C-vantaggi-economici,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneCuneo,http://trasparenza.nexacenter.org/id/Csv,http://www.comune.cuneo.gov.it/benefici/csv.php,http://www.comune.cuneo.gov.it/benefici/,"Tipo, Beneficiario, Codice Fiscale, Modalita' , Importo, Descrizione, Data, Ufficio, Responsabile",1,1,1,0,1,1,1,0,1,1
http://trasparenza.nexacenter.org/id/AttiConcessioneEnna,http://trasparenza.nexacenter.org/id/Html_tabellare,http://www.lacomunitainrete.it/Servizi/Documenti-Determinazioni-di-Liquidazione.aspx,http://www.comune.enna.it/index.php/sovvenzioni-contributi-sussidi-vantaggi-economici-3/itemlist/category/280-atti-di-concessione,"Codice , Numero , Oggetto , Data documento , Beneficiario , Dati fiscali , Importo ,	Impegno o Titolo , Settore o Servizio ,	Responsabile , Modalità individuazione beneficiario",1,1,1,0,1,1,1,0,1,1
http://trasparenza.nexacenter.org/id/AttiConcessioneFermo,http://trasparenza.nexacenter.org/id/Xls,http://www.comune.fermo.it/it/6507/,http://www.comune.fermo.it/it/atti-di-concessione/b1934dir/6409/,"P,IVA/Codice Fiscale , importo del vantaggio economico corrisposto , norma  o titolo a base dell'attribuzione , ufficio e funzionario o dirigente responsabile del relativo procedimento amministrativo ,  modalità seguita per l'individuazione del beneficiario , link al progetto selezionato , link al curriculum del soggetto incaricato",1,1,1,0,1,1,0,0,1,1
http://trasparenza.nexacenter.org/id/AttiConcessioneFerrara,http://trasparenza.nexacenter.org/id/Csv,https://docs.google.com/a/comune.fe.it/spreadsheet/ccc?key=0Am8OVbj8EI5UdHhJVnNQUzVkU3hJaWxqVkVFb3l5aEE&output=csv,http://www.comune.fe.it/index.phtml?id=3351,"Informazioni cronologiche , ESTREMI IDENTIFICATIVO ATTO , SERVIZIO e/o UFFICIO ,	RESPONSABILE DEL PROCEDIMENTO ,	NORMA O TITOLO ATTRIBUZIONE ,	PROCEDURA AGGIUDICAZIONE ,	DENOMINAZIONE e/o NOMINATIVO BENEFICIARIO ,	CODICE FISCALE ,	PARTITA IVA ,	IMPORTO ,	NOTE INFORMATIVE e/o ESPLICATIVE ,	ATTI COLLEGATI",1,1,1,0,1,1,1,0,1,0
http://trasparenza.nexacenter.org/id/AttiConcessioneFirenze,http://trasparenza.nexacenter.org/id/Pdf_vettoriale,http://www.comune.fi.it/materiali/trasparenza/DirezioneIstruzione_2014.pdf,http://www.comune.fi.it/export/sites/retecivica/comune_firenze/Amministrazione_Trasparente/Sovvenzioni_contributi.html#contributi,"BENEFICIARIO, CODICE FISCALE/PARTITA IVA, PROVVEDIMENTO DI EROGAZIONE, IMPORTO, PAGAMENTI, CAUSALE, RIFERIMENTO NORMATIVO, RESPONSABILE DEL PROCEDIMENTO",0,1,1,0,1,1,0,0,1,0
http://trasparenza.nexacenter.org/id/AttiConcessioneFoggia,http://trasparenza.nexacenter.org/id/Html,http://www.comune.foggia.it/amministrazione-trasparente/sovvenzioni-contributi-sussidi/atti-di-concessione/,http://www.comune.foggia.it/sovvenzioni-contributi-sussidi/atti-di-concessione/,"Beneficiario , 	 Importo , 	 Finalità , 	 Atto di concessione",1,0,1,0,0,1,1,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneForl-C3-AC,http://trasparenza.nexacenter.org/id/Ods,http://www.comune.forli.fc.it/servizi/gestionedocumentale/visualizzadocumento.aspx?ID=36158,http://www.comune.forli.fc.it/servizi/menu/dinamica.aspx?idArea=166672&idCat=166726&ID=166774,"Beneficiario - nome e cognome o ragione sociale , Beneficiario – Codice Fiscale / Partita IVA , Importo contratto (euro) , Ufficio e funzionario o dirigente responsabile del procedimento amministrativo , Norma a base dell'attribuzione , Titolo a base dell'attribuzione , Modalità seguita per l'individuazione del beneficiario , Link al progetto selezionato-curriculum soggetto incaricato-contratto e capitolato-fornitura o servizio",0,1,1,1,1,1,1,1,1,1
http://trasparenza.nexacenter.org/id/AttiConcessioneFrosinone,,,http://trasparenza.comune.frosinone.it/pagina48_atti-di-concessione.html,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneFrosinone,,,http://trasparenza.comune.frosinone.it/pagina48_atti-di-concessione.html,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneFrosinone,,,http://trasparenza.comune.frosinone.it/pagina48_atti-di-concessione.html,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneFrosinone,,,http://trasparenza.comune.frosinone.it/pagina48_atti-di-concessione.html,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneFrosinone,,,http://trasparenza.comune.frosinone.it/pagina48_atti-di-concessione.html,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneFrosinone,,,http://trasparenza.comune.frosinone.it/pagina48_atti-di-concessione.html,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneGenova,http://trasparenza.nexacenter.org/id/Csv,http://pve.comune.genova.it/pve/ExportCSV.aspx,http://pve.comune.genova.it/pve/informazioni.aspx,"Impresa o altro soggetto beneficiario, Partita IVA	Codice Fiscale,	Importo, Norma o titolo base dell'attribuzione, Numero atto, Ufficio Responsabile del procedimento amministrativo, Modalità seguita per l''individuazione del beneficiario, Link ai documenti allegati",1,1,1,0,1,1,1,1,1,1
http://trasparenza.nexacenter.org/id/AttiConcessioneGiuglianoinCampania,,,http://www.comune.giugliano.na.it/index.php?param=z&tipo=624&sottomenu=107&ufficio=350&serv=719,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneGiuglianoinCampania,,,http://www.comune.giugliano.na.it/index.php?param=z&tipo=624&sottomenu=107&ufficio=350&serv=719,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneGiuglianoinCampania,,,http://www.comune.giugliano.na.it/index.php?param=z&tipo=624&sottomenu=107&ufficio=350&serv=719,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneGiuglianoinCampania,,,http://www.comune.giugliano.na.it/index.php?param=z&tipo=624&sottomenu=107&ufficio=350&serv=719,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneGiuglianoinCampania,,,http://www.comune.giugliano.na.it/index.php?param=z&tipo=624&sottomenu=107&ufficio=350&serv=719,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneGiuglianoinCampania,,,http://www.comune.giugliano.na.it/index.php?param=z&tipo=624&sottomenu=107&ufficio=350&serv=719,,0,0,0,0,0,0,0,0,0,0
